0,5,52759640701904,5,52759733889904,0.16470589,1.0
0,5,52759828831904,5,52759892082905,0.15294118,1.0
0,6,52760281239905,6,52760376664905,0.16470589,1.0
0,0,52760766130903,0,52760861739903,0.14117648,1.0
0,E,52761454869903,E,52761531550903,0.13725491,1.0
1,5,52762404203903,5,52762496267905,0.17254902,1.0
1,5,52762591508905,5,52762670725905,0.16470589,1.0
1,6,52762935907905,6,52763015400905,0.13725491,1.0
1,0,52763420143905,0,52763515724905,0.13725491,1.0
1,E,52764013468905,E,52764076437905,0.10980393,1.0
2,5,52764979884904,5,52765072516905,0.17254902,1.0
2,5,52765182863905,5,52765262119905,0.16078432,1.0
2,6,52765496696904,6,52765608674904,0.15294118,1.0
2,0,52765936091904,0,52765999177904,0.13725491,1.0
2,E,52766342094904,E,52766421202904,0.13725491,1.0
3,5,52767137411904,5,52767230987904,0.1764706,1.0
3,5,52767357251904,5,52767436647904,0.15686275,1.0
3,6,52767826075904,6,52767905532904,0.16470589,1.0
3,0,52768186287904,0,52768281910904,0.14901961,1.0
3,E,52768671234904,E,52768750711904,0.1254902,1.0
4,5,52769529660903,5,52769638636904,0.19607845,1.0
4,5,52769718504904,5,52769830590904,0.17254902,1.0
4,6,52770064850904,6,52770160874904,0.13333334,1.0
4,0,52770487942904,0,52770583322904,0.13333334,1.0
4,E,52770879489904,E,52770975652904,0.13333334,1.0
5,5,52771569534904,5,52771678886904,0.17254902,1.0
5,5,52771774032904,5,52771853375904,0.12941177,1.0
5,6,52772072121904,6,52772184247904,0.11764707,1.0
5,0,52772496048904,0,52772591863904,0.12941177,1.0
5,E,52772888073904,E,52772983594904,0.12941177,1.0
6,5,52773577211904,5,52773670092904,0.17254902,1.0
6,5,52773765233904,5,52773828296904,0.15686275,1.0
6,6,52774078517904,6,52774173876904,0.13333334,1.0
6,0,52774439369904,0,52774535027904,0.14117648,1.0
6,E,52774800400904,E,52774879645904,0.11764707,1.0
7,5,52775395786904,5,52775471991905,0.16078432,1.0
7,5,52775567171903,5,52775646556903,0.16078432,1.0
7,6,52775834402903,6,52775930107903,0.13725491,1.0
7,0,52776210914903,0,52776290227903,0.13725491,1.0
7,E,52776633829903,E,52776712923903,0.13333334,1.0
8,5,52777337120903,5,52777446346903,0.17254902,1.0
8,5,52777526405903,5,52777589208903,0.15686275,1.0
8,6,52777808468903,6,52777904018903,0.14117648,1.0
8,0,52778154014903,0,52778249244903,0.12941177,1.0
8,E,52778685193903,E,52778764756903,0.1254902,1.0
9,5,52779342467904,5,52779435208904,0.16078432,1.0
9,5,52779514989904,5,52779594323904,0.15686275,1.0
9,6,52779828597904,6,52779908303904,0.1254902,1.0
9,0,52780204317904,0,52780267342904,0.1137255,1.0
9,E,52781776786914,E,52781869239904,0.15294118,1.0
