0,5,49273754155020,5,49273862787022,0.14509805,1.0
0,5,49274112925021,5,49274241191021,0.16862746,1.0
0,6,49274537471021,6,49274682259022,0.14901961,1.0
0,0,49275442203022,0,49275522063022,0.14117648,1.0
0,E,49275941935022,E,49276102726022,0.13725491,1.0
1,5,49276836780023,5,49276927946023,0.11764707,1.0
1,5,49277347973023,5,49277427497023,0.14509805,1.0
1,6,49277816261023,6,49277928240023,0.14509805,1.0
1,0,49278286094023,0,49278398184023,0.13725491,1.0
1,E,49278802800023,E,49278898706023,0.16862746,1.0
2,5,49279460555023,5,49279537223023,0.14117648,1.0
2,5,49279817725023,5,49279962204023,0.14509805,1.0
2,6,49280444364023,6,49280555812023,0.13725491,1.0
2,0,49281053762023,0,49281182324023,0.15294118,1.0
2,E,49281571215023,E,49281667030023,0.17254902,1.0
3,5,49282117957023,5,49282229626023,0.16470589,1.0
3,5,49282671311023,5,49282777353023,0.121568635,1.0
3,6,49283289942023,6,49283401617023,0.17254902,1.0
3,0,49283821516023,0,49283950199023,0.16470589,1.0
3,E,49284261885023,E,49284373709023,0.15294118,1.0
4,5,49284855427023,5,49284934931023,0.1137255,1.0
4,5,49285370256023,5,49285466035023,0.121568635,1.0
4,6,49285824048023,6,49285951877023,0.18039216,1.0
4,0,49286325808021,0,49286454294021,0.16862746,1.0
4,E,49286813017022,E,49286924950022,0.17254902,1.0
5,5,49287483596022,5,49287612229022,0.15686275,1.0
5,5,49287908296022,5,49288053311022,0.16862746,1.0
5,6,49288411246022,6,49288571950022,0.16470589,1.0
5,0,49288883547022,0,49289044049022,0.12941177,1.0
5,E,49289309900022,E,49289421649022,0.13725491,1.0
6,5,49289969600022,5,49290142560022,0.18039216,1.0
6,5,49290454385022,5,49290598626022,0.14117648,1.0
6,6,49290864053022,6,49291041298022,0.15294118,1.0
6,0,49291383923022,0,49291560889022,0.14901961,1.0
6,E,49291903546022,E,49292031979022,0.18039216,1.0
7,5,49292608479022,5,49292751160022,0.15686275,1.0
7,5,49293093617022,5,49293205841021,0.14117648,1.0
7,6,49293625729021,6,49293754169021,0.121568635,1.0
7,0,49294270849021,0,49294379054021,0.15294118,1.0
7,E,49294675047021,E,49294852139021,0.09019608,1.0
8,5,49295488808021,5,49295617075021,0.16078432,1.0
8,5,49295975562022,5,49296103484022,0.16078432,1.0
8,6,49296445977021,6,49296574973021,0.16078432,1.0
8,0,49297009645021,0,49297089572021,0.11764707,1.0
8,E,49297605019021,E,49297714042021,0.18431373,1.0
9,5,49298196214021,5,49298307759021,0.14901961,1.0
9,5,49298650450021,5,49298794941021,0.18039216,1.0
9,6,49299137390021,6,49299298483021,0.14509805,1.0
9,0,49299718356021,0,49299863154021,0.16078432,1.0
9,E,49300159368021,E,49300303968021,0.15686275,1.0
